Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star,is_dwarf,is_mw_like,is_bulge_dom,is_bulgeless,is_transitional,max_bulge_frac,has_bulge_col
NGC3769,3,18.0,2.5,4,70.0,2.0,18.679,0.189,2.18,626.37,3.38,160.26,5.529,22.57,118.6,8.4,2,"VS01,SV98",9339500000.0,135.20399999999998,442179458728.5016,9.970323626438503,11.645598563733266,1.6752749372947626,False,False,False,True,False,0.0,False
NGC3877,5,18.0,2.5,4,76.0,1.0,72.535,0.401,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,5.1,2,"VS01,SV98",36267500000.0,191.976,1265816516634.8518,10.559517619720909,12.102370758139427,1.5428531384185185,False,True,False,True,False,0.0,False
NGC3893,5,18.0,2.5,4,49.0,2.0,58.525,0.377,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,8.9,1,"VS01,SV98",29262500000.0,198.36,1396343415695.748,10.466311426704682,12.144992241496334,1.6786808147916528,False,True,False,True,False,0.0,False
NGC3917,6,18.0,2.5,4,79.0,2.0,21.966,0.202,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,4.1,1,"VS01,SV98",10983000000.0,154.926,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242,False,True,False,True,False,0.0,False
NGC3949,4,18.0,2.5,4,55.0,2.0,38.067,0.28,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,7.1,2,"VS01,SV98",19033500000.0,185.82,1147908600737.9834,10.279518656438448,12.059907309860408,1.7803886534219604,False,True,False,True,False,0.0,False
NGC3953,4,18.0,2.5,4,62.0,1.0,141.301,0.521,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,6.1,1,"VS01,SV98",70650500000.0,251.712,2853262337430.916,10.849115239736914,12.455341703820018,1.606226464083104,False,True,False,True,False,0.0,False
NGC3972,4,18.0,2.5,4,77.0,1.0,14.353,0.172,3.73,164.75,2.18,1587.93,1.214,10.05,132.7,2.9,1,"VS01,SV98",7176500000.0,151.27799999999996,619380124815.4458,9.855912689188244,11.79195726524184,1.9360445760535967,False,False,False,True,False,0.0,False
NGC3992,4,23.7,2.3,5,56.0,2.0,226.932,0.836,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,5.2,1,"VS01,SV98",113466000000.0,274.73999999999995,3710185504928.027,11.054865745013934,12.56939562437314,1.5145298793592057,False,False,False,True,False,0.0,False
NGC4010,7,18.0,2.5,4,89.0,1.0,17.193,0.19,6.63,14.75,2.81,2611.14,2.832,17.59,125.8,4.7,2,"VS01,SV98",8596500000.0,143.41199999999998,527699180796.6221,9.93432166751343,11.722386419976283,1.788064752462855,False,False,False,True,False,0.0,False
NGC4013,3,18.0,2.5,4,89.0,1.0,79.094,0.364,4.11,746.16,3.53,10205.4,2.967,31.35,172.9,7.1,2,"VS01,SV98",39547000000.0,197.106,1370028105089.3882,10.597113543892805,12.136729476470302,1.5396159325774974,False,True,True,False,False,0.31916157579281107,True
NGC4051,4,18.0,2.5,4,49.0,3.0,95.268,0.439,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,5.5,2,"VS01,SV98",47634000000.0,178.98,1025754554268.7478,10.677917052328027,12.011043453876235,1.3331264015482065,False,True,False,True,False,0.0,False
NGC4085,5,18.0,2.5,4,82.0,2.0,21.724,0.2,2.0,856.7,1.65,5021.46,1.349,10.16,131.5,4.8,2,"VS01,SV98",10862000000.0,149.91,602728538262.8328,10.03590979845661,11.780121755125863,1.7442119566692558,False,True,False,True,False,0.0,False
NGC4088,4,18.0,2.5,4,69.0,2.0,107.286,0.494,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,6.9,1,"VS01,SV98",53643000000.0,195.738,1341699883703.6812,10.729513057900906,12.127655382131284,1.3981423242303777,False,True,False,True,False,0.0,False
NGC4100,4,18.0,2.5,4,73.0,2.0,59.394,0.328,4.93,388.0,2.15,8970.78,3.102,18.06,158.2,5.0,1,"VS01,SV98",29697000000.0,180.348,1049455273307.2766,10.472712578972017,12.020963934133508,1.5482513551614918,False,True,False,True,False,0.0,False
NGC4138,0,18.0,2.5,4,53.0,3.0,44.111,0.284,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,5.9,2,"VS01,SV98",22055500000.0,167.922,847135218216.6102,10.343516907717673,11.927952737176428,1.5844358294587568,False,False,True,False,False,0.3331901700525024,True
NGC4157,3,18.0,2.5,4,82.0,3.0,105.62,0.486,4.44,848.85,2.32,23813.87,8.226,24.09,184.7,7.2,1,"VS01,SV98",52810000000.0,210.558,1670110409708.6428,10.722716167488494,12.22274518296926,1.5000290154807647,False,True,True,False,False,0.2918294965393529,True
NGC4183,6,18.0,2.5,4,82.0,2.0,10.838,0.15,4.47,86.46,2.79,1098.58,3.506,16.07,110.6,5.4,1,"VS01,SV98",5419000000.0,126.084,358599663382.8655,9.73391915101239,11.554609877554572,1.820690726542182,False,False,False,True,False,0.0,False
NGC4217,3,18.0,2.5,4,86.0,2.0,85.299,0.393,5.28,483.98,2.94,4373.51,2.562,16.7,181.3,7.2,1,"VS01,SV98",42649500000.0,206.682,1579566479786.836,10.62991394409642,12.19853790893506,1.5686239648386415,False,True,True,False,False,0.9843602996273886,True
NGC4559,6,9.0,2.7,1,67.0,1.0,19.377,0.107,3.82,211.27,2.1,1602.62,5.811,21.16,121.2,5.1,1,Ba05,9688500000.0,138.16799999999998,471902584783.2203,9.98625654359883,11.673852356139337,1.687595812540506,False,False,False,True,False,0.0,False
NGC5005,4,16.9,1.5,5,68.0,2.0,178.72,0.494,3.97,1789.91,9.45,96.57,1.28,10.41,262.2,20.7,1,Ri15,89360000000.0,298.908,4777960540146.155,10.951143160107552,12.679242558710731,1.7280993986031792,False,True,True,False,False,0.848673966640449,True
NGC5033,5,15.7,4.7,1,66.0,1.0,110.509,0.407,2.94,2036.24,5.16,614.94,11.314,29.53,194.2,3.6,1,"Sa96,Be87",55254500000.0,221.388,1941297849134.2524,10.742367653317965,12.288092173364491,1.5457245200465302,False,True,True,False,False,0.9219396963585381,True
NGC5055,4,9.9,0.3,2,55.0,6.0,152.922,0.282,4.18,1383.02,3.2,3348.34,11.722,35.06,179.0,4.9,1,"Ba06,Bl04",76461000000.0,204.06,1520210016019.8655,10.883439973667864,12.181903589588211,1.298463615920349,False,True,False,True,False,0.0,False
NGC5371,4,39.7,9.92,1,53.0,2.0,340.393,1.881,9.8,560.83,7.44,1395.82,11.18,30.03,209.5,3.9,1,"Sa96,Be87",170196500000.0,238.83,2437230355320.1533,11.230950624806642,12.386896578555476,1.1559459537488357,False,False,False,True,False,0.0,False
NGC5585,7,7.06,2.12,1,51.0,2.0,2.943,0.033,2.27,90.54,1.53,297.05,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",1471500000.0,102.942,195167611686.82904,9.16776026643563,11.290407747589052,2.1226474811534217,False,False,False,True,False,0.0,False
NGC5907,5,17.3,0.9,2,88.0,2.0,175.425,0.646,7.88,449.6,5.34,8646.29,21.025,0.0,215.0,2.9,1,"Sa96,SA87",87712500000.0,245.1,2634267515479.282,10.943061489536872,12.42065987639535,1.477598386858478,False,True,False,True,False,0.0,False
NGC5985,3,39.7,9.9,1,60.0,2.0,208.728,1.538,10.71,288.95,7.01,1461.61,11.586,39.5,293.6,8.6,1,"Bl04,Br92",104364000000.0,334.704,6708302688463.605,11.018550716122284,12.826612650380634,1.8080619342583493,False,False,True,False,False,0.5513965676474702,True
NGC6015,6,17.0,5.1,1,60.0,2.0,32.129,0.237,3.92,331.76,2.3,1926.77,5.834,21.43,154.1,7.0,2,VM97,16064499999.999998,175.67399999999998,969956846327.87,10.20586721288659,11.986752412803792,1.7808851999172024,False,True,False,True,False,0.0,False
NGC6195,3,127.8,12.8,1,62.0,5.0,391.076,6.123,9.52,686.8,13.94,174.11,20.907,40.89,251.7,9.3,1,SG06,195538000000.0,286.938,4226629143790.5,11.29123116882462,12.625994143293624,1.3347629744690028,False,False,True,False,False,0.9652275768822269,True
NGC6503,6,6.26,0.31,2,74.0,2.0,12.845,0.059,1.62,774.16,2.16,398.87,1.744,14.05,116.3,2.4,1,"Be91,Be87",6422500000.0,132.582,416949676133.6554,9.807704112938383,11.62008364083388,1.812379527895496,False,False,False,True,False,0.0,False
NGC6674,3,51.2,10.2,1,54.0,6.0,214.654,1.977,7.75,560.83,6.04,1370.35,32.165,50.02,241.3,4.9,1,"Sa96,Br92",107327000000.0,275.082,3724058224092.1113,11.030708990148176,12.571016462374892,1.5403074722267167,False,False,True,False,False,0.7322717546349606,True
NGC6946,6,5.52,1.66,2,38.0,2.0,66.173,0.122,4.2,571.26,2.44,2232.7,5.67,21.25,158.9,10.9,1,Bo08,33086500000.0,181.146,1063447827241.2118,10.519650828475031,12.026716188270672,1.5070653597956412,False,True,True,False,False,0.9922150726303381,True
NGC7331,3,14.7,1.5,3,75.0,2.0,250.631,0.693,3.99,2470.76,5.02,1806.47,11.067,27.01,239.0,5.4,1,"Be91,Be87",125315500000.0,272.46,3618580174893.22,11.098004791250704,12.558538199492949,1.4605334082422434,False,False,True,False,False,0.20550570881972807,True
NGC7814,2,14.4,0.66,2,90.0,1.0,74.529,0.343,2.08,2709.13,2.54,2635.3,1.07,12.15,218.9,7.0,1,Fr11,37264500000.0,249.546,2780236760745.982,10.571295298417532,12.44408178135233,1.872786482934797,False,False,True,False,False,0.9906411803882766,True
UGC00128,8,64.5,9.7,1,57.0,10.0,12.02,0.565,9.63,20.36,5.95,88.89,7.431,31.27,129.3,2.8,1,"VB99,VH93",6010000000.0,147.402,572980802430.1835,9.77887447200274,11.758140071289716,1.9792655992869768,False,False,False,True,False,0.0,False
UGC00731,10,12.5,3.75,1,57.0,3.0,0.323,0.019,1.4,25.63,2.3,82.57,1.807,11.57,73.3,2.3,1,"Sw09,Sw02",161500000.0,83.56199999999998,104389404609.7221,8.208172526667122,11.01865642057192,2.810483893904797,True,False,False,True,False,0.0,False
UGC01281,8,5.27,0.24,2,90.0,1.0,0.353,0.009,2.01,13.83,1.63,135.78,0.294,5.26,55.2,3.5,1,"dB02,Sw02",176500000.0,62.928,44582224022.35806,8.246744709723842,10.64916172983613,2.4024170201122885,True,False,False,True,False,0.0,False
UGC02259,8,10.5,3.1,1,41.0,3.0,1.725,0.038,2.4,47.08,1.62,172.52,0.494,7.28,86.2,2.9,2,"Be91,Ca88",862500000.0,98.268,169772089608.94327,8.935759103745312,11.229866294122672,2.2941071903773604,True,False,False,True,False,0.0,False
UGC02487,0,69.1,10.4,1,36.0,5.0,489.955,4.061,9.63,818.14,7.89,1150.35,17.963,40.2,332.0,3.5,1,"No07,No05",244977500000.0,378.48,9699709949754.818,11.38912619834589,12.986758747760645,1.5976325494147527,False,False,True,False,False,0.4787624597128548,True
UGC02885,5,80.6,8.06,1,64.0,4.0,403.525,4.088,12.2,421.53,11.4,470.79,40.075,74.24,289.5,12.0,1,"Sa96,RA85",201762500000.0,330.03,6431173125571.1,11.304840450521027,12.8082902008389,1.5034497503178716,False,False,True,False,False,0.9207044102983483,True
UGC02916,2,65.4,9.8,1,50.0,5.0,124.153,1.83,2.8,2425.66,6.15,520.99,23.273,34.24,182.7,6.9,2,"No07,No05",62076500000.0,208.278,1616442046594.79,10.792927222529496,12.208560138706147,1.4156329161766514,False,False,True,False,False,0.9935340855595668,True
UGC02953,2,16.5,4.95,1,50.0,4.0,259.518,0.717,5.03,1544.65,3.55,4215.31,7.678,24.0,264.9,6.0,2,"No07,No05",129758999999.99998,301.98599999999993,4927088595636.736,11.113137489948498,12.692590371540229,1.5794528815917293,False,False,True,False,False,0.9839462414112006,True
UGC03205,2,50.0,10.0,1,67.0,4.0,113.642,1.361,5.35,587.26,3.19,3915.89,9.677,28.6,219.6,8.6,1,"No07,No05",56821000000.0,250.344,2806994127066.1323,10.754508872657953,12.448241503982697,1.6937326313247445,False,False,True,False,False,0.9838251720090528,True
UGC03546,1,28.7,7.2,1,55.0,5.0,101.336,0.747,2.58,2403.42,3.79,922.21,2.675,18.37,196.9,7.4,1,"No07,No05",50668000000.0,224.466,2023399531322.441,10.70473376187689,12.30608164506289,1.6013478831859995,False,False,True,False,False,0.9686729810220835,True
UGC03580,1,20.7,5.2,1,63.0,4.0,13.266,0.195,1.84,614.94,2.43,302.57,4.37,19.97,126.2,3.2,2,"No07,No05",6633000000.0,143.868,532748899632.86847,9.821709997298376,11.726522561372882,1.904812564074506,False,False,True,False,False,0.9620678777292995,True
UGC04278,7,9.51,2.85,1,90.0,3.0,1.307,0.026,2.46,34.11,2.21,377.42,1.116,8.9,91.4,4.8,1,"dB02,Sw02",653500000.0,104.196,202387219486.1088,8.815245591916563,11.306183083850028,2.4909374919334653,False,False,False,True,False,0.0,False
UGC04325,9,9.6,2.88,1,41.0,3.0,2.026,0.035,2.79,41.0,1.86,213.22,0.678,6.61,90.9,2.7,1,"Sw09,Sw02",1013000000.0,103.626,199083902955.42108,9.00560944536028,11.299036146314435,2.293426700954157,False,False,False,True,False,0.0,False
UGC04499,8,12.5,3.75,1,50.0,3.0,1.552,0.043,2.69,33.79,1.73,127.3,1.1,8.67,72.8,2.4,1,"Sw09,Sw02",776000000.0,82.99199999999999,102267734335.2918,8.889861721258189,11.009738634587643,2.119876913329456,True,False,False,True,False,0.0,False
UGC05005,10,53.7,10.7,1,41.0,10.0,4.1,0.283,5.02,25.63,3.2,65.59,3.093,21.61,98.9,7.2,1,"dB02,VH93",2050000000.0,112.746,256409062886.69147,9.311753861055754,11.408933371440073,2.0971795103843185,False,False,False,True,False,0.0,False
UGC05253,2,22.9,5.72,1,37.0,4.0,171.582,0.79,4.28,1488.78,8.07,189.16,16.396,36.64,213.7,7.1,2,"No07,No05",85791000000.0,243.618,2586771474506.5576,10.933441730094035,12.412758063140744,1.4793163330467056,False,False,True,False,False,0.9974684769679932,True
UGC05716,9,21.3,5.3,1,54.0,10.0,0.588,0.042,1.84,27.59,1.14,90.54,1.094,10.64,73.1,1.2,2,vZ97,294000000.0,83.33399999999999,103537250428.39767,8.468347330412158,11.015096627522116,2.546749297109958,True,False,False,True,False,0.0,False
UGC05721,7,6.18,1.85,1,61.0,5.0,0.531,0.011,0.6,233.79,0.38,913.76,0.562,6.74,79.7,6.6,1,"dB02,Sw02",265500000.0,90.858,134189786166.18344,8.424064525417489,11.127719460836872,2.703654935419383,False,False,False,True,False,0.0,False
UGC05986,9,8.63,2.59,1,90.0,3.0,4.695,0.048,3.12,76.71,1.67,1725.16,2.667,16.53,113.0,4.1,2,"Sw09,Sw02",2347500000.0,128.82,382454545665.9173,9.370605600938148,11.582579827098794,2.211974226160645,False,False,False,True,False,0.0,False
UGC06399,9,18.0,2.5,4,75.0,2.0,2.296,0.072,3.45,30.82,2.05,311.05,0.674,8.8,85.0,3.8,1,"VS01,SV98",1148000000.0,96.9,162780086074.8074,9.059941888061957,11.211601273791413,2.1516593857294577,False,False,False,True,False,0.0,False
UGC06446,7,12.0,3.6,1,51.0,3.0,0.988,0.032,2.06,37.05,1.49,86.46,1.379,10.33,82.2,4.3,1,"VS01,SV98",494000000.0,93.708,147217673171.4916,8.693726948923647,11.167959949268685,2.4742330003450377,False,False,False,True,False,0.0,False
UGC06614,1,88.7,8.87,1,36.0,10.0,124.35,2.52,3.68,1461.61,5.1,540.54,21.888,60.63,199.8,16.0,1,"dB01,VH93",62175000000.0,227.772,2114126394386.3047,10.793615793941974,12.325130948318424,1.53151515437645,False,False,True,False,False,0.9828654057003523,True
UGC06667,6,18.0,2.5,4,89.0,1.0,1.397,0.066,3.5,18.06,5.15,614.94,0.809,8.59,83.8,3.1,1,"VS01,SV98",698500000.0,95.53199999999998,155982742740.48978,8.844166410450201,11.193076552539363,2.348910142089162,False,False,False,True,False,0.0,False
UGC06786,0,29.3,7.32,1,64.0,3.0,73.407,0.676,3.42,992.73,3.6,1078.52,5.03,20.31,219.4,7.8,1,"No07,No05",36703500000.0,250.116,2799331726950.808,10.564707480007137,12.447054366364611,1.8823468863574744,False,False,True,False,False,0.9966046098303882,True
UGC06787,2,21.3,5.32,1,66.0,3.0,98.256,0.543,2.88,1891.6,5.37,429.37,5.03,26.44,248.1,4.8,2,"No07,No05",49128000000.0,282.83399999999995,4047853531168.984,10.691329084374113,12.607224789465162,1.9158957050910512,False,False,True,False,False,0.9986640376821779,True
UGC06818,9,18.0,2.5,4,75.0,3.0,1.588,0.057,2.12,56.08,1.39,286.31,1.079,6.96,71.2,4.0,2,"VS01,SV98",794000000.0,81.16799999999999,95671917319.82304,8.899820502427096,10.980784477559103,2.080963975132008,True,False,False,True,False,0.0,False
