galaxy,n_shells,n_params,n_data,dof,chi2_data,chi2_red,prior_penalty,bic,Y_disk_fit,Y_bulge_fit,rho_0_Msun_kpc3,a_kpc,n_attempts,n_success,n_seeded,used_differential_evolution,fix_upsilon,delta_bic_vs_best_fixed,canonical_bic,canonical_chi2_red,delta_bic_vs_canonical,M_shell_1_Msun,r_shell_1_kpc,sigma_shell_1_kpc,sigma_over_r_1,M_shell_2_Msun,r_shell_2_kpc,sigma_shell_2_kpc,sigma_over_r_2
NGC5055,0,2,22,20,191.1147382262428,9.55573691131214,0.0,197.29682313295942,0.499999,0.7,7992603.955259054,15.859355311827894,32,32,0,False,True,165.18769600720432,196.8,9.53,0.49682313295940617,,,,,,,,
NGC5055,1,5,22,17,17.856094139065785,1.0503584787685756,0.0,33.311306405857366,0.49999900001057024,0.6999999670036448,2517434.009243966,26.550757607935367,32,33,16,True,True,1.2021792801022713,40.3,1.46,-6.988693594142632,49999999963.925934,12.988828932838548,3.539527920678781,0.2725055460334915,,,,
NGC5055,2,8,22,14,7.380787498888562,0.5271991070634687,0.0,32.109127125755094,0.499999,0.6999997312012376,1995073.6004535477,30.168411601169375,32,33,16,True,True,0.0,,,,42839504640.662125,14.86563204016011,3.232538416951454,0.2174504527098895,15321098754.43344,8.78635453931378,1.6910158443062155,0.19245932277600591
