iteration,mu_disk,tau_disk,mu_bulge,tau_bulge,n_disk_used,n_bulge_used,delta_mu_disk,delta_tau_disk,delta_mu_bulge,delta_tau_bulge,converged
0,-0.2826609465991789,0.1303914708451301,-0.1549019599857432,0.1,8,0,0.0183690490648023,0.0303914708451301,0.0,0.0,False
0,-0.2875702888302872,0.1431965420625792,-0.1549019599857432,0.1,10,1,0.013459706833694,0.0431965420625792,0.0,0.0,False
0,-0.3110495272729173,0.0871043064581006,-0.147084571729246,0.092140551635503,101,23,-0.0100195316089361,-0.0128956935418993,0.0078173882564971,-0.007859448364497,False
1,-0.3148649892261432,0.0878480907691253,-0.1321665469672981,0.0862473450465725,101,23,-0.0038154619532259,0.0007437843110247,0.0149180247619478,-0.0058932065889304,False
2,-0.31529048550103395,0.08066981671543763,-0.125371141250761,0.08141058534588536,101,23,-0.000425496274890691,-0.007178274053687761,0.006795405716537195,-0.004836759700687213,True
