galaxy,n_shells,n_params,n_data,dof,chi2_data,chi2_red,prior_penalty,bic,Y_disk_fit,Y_bulge_fit,rho_0_Msun_kpc3,a_kpc,n_attempts,n_success,n_seeded,used_differential_evolution,fix_upsilon,delta_bic_vs_best_marg,canonical_bic,canonical_chi2_red,delta_bic_vs_canonical,M_shell_1_Msun,r_shell_1_kpc,sigma_shell_1_kpc,sigma_over_r_1,M_shell_2_Msun,r_shell_2_kpc,sigma_shell_2_kpc,sigma_over_r_2
NGC5055,0,4,22,18,28.73799426600823,1.5965552370004572,0.3990974521690335,41.10216407944149,0.43231056028309345,0.7000100865326163,17932650.062911034,10.655464143913287,32,33,0,True,False,5.289954486997523,196.8,9.53,-155.69783592055853,,,,,,,,
NGC5055,1,7,22,15,18.983319384829358,1.2655546256552905,0.6442443207548025,40.620616558337574,0.4156283598330972,0.699982328205383,22856293.711452484,9.319879205312734,32,33,0,True,False,4.808406965893603,40.3,1.46,0.3206165583375764,25500071009.486923,42.11682850787345,3.426851112533377,0.08136536472333739,,,,
NGC5055,2,10,22,12,4.901785058860811,0.4084820882384009,0.17781342698548663,35.81220959244397,0.45373478479102125,0.6999970454432983,11151049.387144325,11.284230623957242,32,33,0,True,False,0.0,,,,49537693070.5127,40.40204416123818,5.529350946845767,0.13685819768868626,35544920579.02562,14.165299528521913,4.527638845693865,0.3196288815903566
