galaxy,n_shells,n_params,n_data,dof,chi2_data,chi2_red,prior_penalty,bic,Y_disk_fit,Y_bulge_fit,rho_0_Msun_kpc3,a_kpc,n_attempts,n_success,n_seeded,used_differential_evolution,fix_upsilon,delta_bic_vs_best_marg,M_shell_1_Msun,r_shell_1_kpc,sigma_shell_1_kpc,sigma_over_r_1,M_shell_2_Msun,r_shell_2_kpc,sigma_shell_2_kpc,sigma_over_r_2
NGC2841,0,4,50,46,78.42614901424778,1.7049162829184301,18.515886919875893,94.07424103596037,1.2686952053750171,0.9821294225689547,9210494.61845398,23.086560480223294,32,33,0,True,False,17.61796029642315,,,,,,,,
NGC2841,1,7,50,43,53.79769917604022,1.251109283163726,17.05577159842651,81.18186021403724,1.1909860462181687,1.032399408419862,12353048.121689793,19.299111866891412,32,33,0,True,False,4.725579474500023,49999999807.00563,48.87930263359264,0.5337998792656444,0.010920775266928353,,,,
NGC2841,2,10,50,40,37.33605068525577,0.9334012671313943,15.342305502854915,76.45628073953722,1.1001432798310933,1.084375401075829,17187691.887377024,16.048115349999918,32,33,0,True,False,0.0,49999954693.53891,49.62190378740594,0.4962190378740594,0.01,49999907611.86653,47.21311051396782,0.4721311051396782,0.01
