galaxy,n,rmax,burk_chi2,burk_chi2_red,burk_bic,ein0_chi2,ein0_chi2_red,ein0_bic,ein1_chi2,ein1_chi2_red,ein1_bic,ein2_chi2,ein2_chi2_red,ein2_bic,fw_einasto_n_shells,fw_einasto_chi2,fw_einasto_chi2_red,fw_einasto_popt,T,V_flat,burk_canonical_chi2_red,fw_burkert_n_shells,fw_burkert_chi2_red
ESO079-G014,15,16.67,13.316413213508083,1.0243394779621602,18.732513615712502,11.694401870057815,0.9745334891714846,19.818552473364445,2.994584354309224,0.3327315949232471,19.242885560922485,1.8938880488747507,0.3156480081457918,26.26633985879464,1,2.994584354309224,0.3327315949232471,"[6.1705730268904855, 1.3264422383340235, 1.1999999999999995, 10.350733348760949, 6.296785100742554, 1.9790787138821306]",4,175.0,1.0243394779617043,1,0.2604414634014924
ESO116-G012,15,9.86,10.133685614970819,0.7795142780746784,15.54978601717524,8.954409052426183,0.7462007543688486,17.07855965573281,4.2136054284440245,0.46817838093822495,20.461906635057282,3.0281061015602884,0.5046843502600481,27.400557911480178,0,8.954409052426183,0.7462007543688486,"[6.936501605574415, 0.7312706665744677, 0.8915905814016494]",7,109.1,0.7795142780748077,0,0.7795142780748077
ESO563-G021,27,42.41,168.07098530144168,6.7228394120576676,174.66265903345032,201.74066502541967,8.40586104272582,211.62817562343267,37.760005514436024,1.7980955006874297,57.535026710462,32.20811277034271,1.7893395983523728,61.87064456438167,1,37.760005514436024,1.7980955006874297,"[6.48332974500436, 1.3716672969939825, 0.70742630676518, 10.699999999999998, 5.892095857102378, 1.0759797730751532]",4,314.6,6.722839412057329,2,0.4239447667447389
F568-V1,15,17.63,0.6970514203787328,0.053619340029133294,6.113151822583153,1.023990376253147,0.08533253135442892,9.148140979559777,0.25250334704285565,0.028055927449206184,16.500804553656113,0.07521970756569263,0.012536617927615437,24.447671517485585,0,1.023990376253147,0.08533253135442892,"[7.022729972609387, 0.7198485991799731, 0.6022830036556284]",7,112.3,0.0536193400291333,0,0.0536193400291333
F571-8,9,15.55,9.308725794056341,1.3298179705794773,13.70317494872878,7.565910897543872,1.2609851495906452,14.157584629552531,3.2621147573070592,1.0873715857690198,16.445462221324377,0.049822480869258154,inf,19.824843676895235,0,7.565910897543872,1.2609851495906452,"[6.706785841288024, 1.0078321397347438, 1.1999999999999997]",5,139.7,1.3298179705826314,0,1.3298179705826314
F571-V1,7,13.59,0.15692468117917657,0.03138493623583531,4.048744979289803,0.14190093797075357,0.03547523449268839,5.979631385136693,0.008439189612378361,0.008439189612378361,11.683900083944257,2.1658129921743418e-16,-1.0829064960871709e-16,17.51319134149782,0,0.14190093797075357,0.03547523449268839,"[6.415679637272366, 0.8828400784983401, 1.095417820858984]",7,83.6,0.0313849362358345,0,0.0313849362358345
F574-1,14,12.6,1.1309324298443273,0.09424436915369394,6.4090470890748445,1.8397056432348045,0.1672459675668004,9.75687763208058,0.05202856137175461,0.006503570171469326,15.886372539063304,0.03149804542621991,0.006299609085243981,23.783014011963544,0,1.8397056432348045,0.1672459675668004,"[6.81132087788959, 0.7430951765564024, 0.8714499241171537]",7,97.8,0.0942443691536982,0,0.0942443691536982
F583-1,25,16.26,4.480803244336657,0.19481753236246338,10.918554894073058,3.4353566981039365,0.15615257718654257,13.091984172708537,2.1383812945110523,0.11254638392163434,21.451636243720255,1.5861156035179385,0.09913222521987115,30.555998027331743,0,3.4353566981039365,0.15615257718654257,"[6.6078472207721175, 0.8059598144468808, 1.156079672072743]",9,85.8,0.1948175323621351,0,0.1948175323621351
IC2574,34,10.23,41.820531571236565,1.3068916116011426,48.87325262046889,29.129181569236067,0.9396510183624538,39.70826314308455,16.20858988337264,0.5788782101204514,37.36675303106961,12.396774318637375,0.495870972745495,44.13401904018283,1,16.20858988337264,0.5788782101204514,"[6.128041514559002, 0.7568645110117042, 1.199999999999947, 9.646049497267573, 7.959077676045742, 1.2962892694756987]",9,66.4,1.306891611598784,1,0.4610472456186275
IC4202,29,25.9,85.50909575933483,3.1670035466420305,92.24368741930778,97.83624766476979,3.7629326024911456,107.93813515472921,31.59017464669664,1.3734858542042017,51.793949626615486,30.101783719401528,1.5050891859700763,60.407446189279796,1,31.59017464669664,1.3734858542042017,"[6.2461334820459244, 1.3598641843083492, 1.1999999999992321, 10.554940042225642, 5.415743056030569, 1.4397299225145488]",4,242.6,3.167003546642054,2,0.3936055839880052
NGC0024,29,11.27,21.148027761451516,0.7832602874611673,27.882619421424465,19.884175336958585,0.7647759744984071,29.98606282691801,3.734622431850148,0.16237488834131078,23.938397411768992,0.5095988256254436,0.025479941281272178,30.81526129550371,1,3.734622431850148,0.16237488834131078,"[7.7894638046677835, 0.2747420724524037, 0.8664785586580213, 10.345422748051982, 9.19545424365651, 2.3755310886046526]",5,106.3,0.7832602874611388,1,0.1300709190585576
NGC0055,21,13.5,9.175799315764369,0.48293680609286155,15.264844191211214,6.340217683195928,0.35223431573310715,15.473784996366199,1.704363638627917,0.11362424257519448,19.971498264968456,0.47963379072984125,0.039969482560820106,27.88033573024065,0,6.340217683195928,0.35223431573310715,"[6.315568242545871, 0.9261496632668815, 1.1999999999999997]",9,85.6,0.4829368060930246,0,0.4829368060930246
